Repository_Name,Username,Stars,Repository_URL
electron,electron,93400.0,https://github.com/electron/electron
mkcert,FiloSottile,30400.0,https://github.com/FiloSottile/mkcert
playwright,microsoft,24400.0,https://github.com/microsoft/playwright
octotree,ovity,21300.0,https://github.com/ovity/octotree
nightmare,segmentio,18900.0,https://github.com/segmentio/nightmare
linux-command,jaywcjlove,16100.000000000002,https://github.com/jaywcjlove/linux-command
bypass-paywalls-chrome,iamadamdev,15800.0,https://github.com/iamadamdev/bypass-paywalls-chrome
chromeless,prisma-archive,13300.0,https://github.com/prisma-archive/chromeless
headless-recorder,checkly,13000.0,https://github.com/checkly/headless-recorder
WebFundamentals,google,12100.0,https://github.com/google/WebFundamentals
react-color,casesandberg,9700.0,https://github.com/casesandberg/react-color
chrome-extensions-samples,GoogleChrome,8300.0,https://github.com/GoogleChrome/chrome-extensions-samples
uBlock,uBlock-LLC,8000.0,https://github.com/uBlock-LLC/uBlock
ext-saladict,crimx,7400.0,https://github.com/crimx/ext-saladict
url-to-pdf-api,alvarcarto,6400.0,https://github.com/alvarcarto/url-to-pdf-api
chromedp,chromedp,6300.0,https://github.com/chromedp/chromedp
InfoSpider,kangvcar,5600.0,https://github.com/kangvcar/InfoSpider
headless-chrome-crawler,yujiosaka,5000.0,https://github.com/yujiosaka/headless-chrome-crawler
metamask-extension,MetaMask,5000.0,https://github.com/MetaMask/metamask-extension
simpread,Kenshin,4700.0,https://github.com/Kenshin/simpread
debugger,firefox-devtools,4600.0,https://github.com/firefox-devtools/debugger
ferret,MontFerret,4500.0,https://github.com/MontFerret/ferret
polar-bookshelf,burtonator,4300.0,https://github.com/burtonator/polar-bookshelf
fetool,nieweidong,4300.0,https://github.com/nieweidong/fetool
themer,mjswensen,4200.0,https://github.com/mjswensen/themer
Surfingkeys,brookhong,3500.0,https://github.com/brookhong/Surfingkeys
bilibili-helper-o,bilibili-helper,3500.0,https://github.com/bilibili-helper/bilibili-helper-o
melonJS,melonjs,3400.0,https://github.com/melonjs/melonJS
SingleFile,gildas-lormeau,3300.0,https://github.com/gildas-lormeau/SingleFile
crx-selection-translate,lmk123,3300.0,https://github.com/lmk123/crx-selection-translate
