Repository_Name,Username,Stars,Repository_URL
infinite-scroll,metafizzy,6900.0,https://github.com/metafizzy/infinite-scroll
Blog,ljianshu,6500.0,https://github.com/ljianshu/Blog
unfetch,developit,5100.0,https://github.com/developit/unfetch
form,jquery-form,5100.0,https://github.com/jquery-form/form
elFinder,Studio-42,4100.0,https://github.com/Studio-42/elFinder
tabulator,olifolkerd,4000.0,https://github.com/olifolkerd/tabulator
reqwest,ded,2900.0,https://github.com/ded/reqwest
learn-to-send-email-via-google-script-html-no-server,dwyl,2600.0,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
bliss,LeaVerou,2300.0,https://github.com/LeaVerou/bliss
wretch,elbywan,2200.0,https://github.com/elbywan/wretch
featherlight,noelboss,2000.0,https://github.com/noelboss/featherlight
jquery-confirm,craftpip,1700.0,https://github.com/craftpip/jquery-confirm
Ajax-hook,wendux,1600.0,https://github.com/wendux/Ajax-hook
sente,ptaoussanis,1600.0,https://github.com/ptaoussanis/sente
Enterprise,joaomilho,1500.0,https://github.com/joaomilho/Enterprise
tracy,nette,1400.0,https://github.com/nette/tracy
web-interview,yisainan,1300.0,https://github.com/yisainan/web-interview
jeeplatform,u014427391,1300.0,https://github.com/u014427391/jeeplatform
pjax,MoOx,1200.0,https://github.com/MoOx/pjax
css-spinner,loadingio,1100.0,https://github.com/loadingio/css-spinner
uploader,danielm,1100.0,https://github.com/danielm/uploader
eCommerce,codingforentrepreneurs,1100.0,https://github.com/codingforentrepreneurs/eCommerce
render_async,renderedtext,1000.0,https://github.com/renderedtext/render_async
saber,swlib,893000.0,https://github.com/swlib/saber
infinite-ajax-scroll,webcreate,816000.0,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,743000.0,https://github.com/opensource-socialnetwork/opensource-socialnetwork
RestClient,proyecto26,731000.0,https://github.com/proyecto26/RestClient
rapid.js,rapidjs,703000.0,https://github.com/rapidjs/rapid.js
ssm-BookAppointment,ni-ze,676000.0,https://github.com/ni-ze/ssm-BookAppointment
JavaScriptStudy,csxiaoyaojianxian,542000.0,https://github.com/csxiaoyaojianxian/JavaScriptStudy
